societe,adresse_postale,code_postal,email_destinataire,domaine,url
ACCES FACILE INFORMATIQUE ET NTIC (ACCES FACILE INFORMATIQUE ET NTIC),50 RUE AUBER 14150 OUISTREHAM,14150 OUISTREHAM,,6 secteurs,
IT PERFECT,76 RUE D'AUGE 14000 CAEN,14000 CAEN,,6 secteurs,
OMAR ZIOUECHE (CYBERSOLUS),5 RUE MONTCALM 14000 CAEN,14000 CAEN,,6 secteurs,
TIMOTHEE COCAULT,15 B PROMENADE DU FORT 14000 CAEN,14000 CAEN,,6 secteurs,
SENGDED CHANTHAPANYA,1103 LES BELLES PORTES 14200 HEROUVILLE-SAINT-CLAIR,14200 HEROUVILLE-SAINT-CLAIR,,6 secteurs,
CELINE COURTE,49 RUE DES ECUYERS 14370 ARGENCES,14370 ARGENCES,,6 secteurs,
VALENTIN WAGON (INFOHELL SOLUTIONS),DEUXIEME ETAGE 148 BOULEVARD LEROY 14000 CAEN,14000 CAEN,,6 secteurs,
MICRO-CARAIBE-PC,132 RUE HENRI CHERON 14100 LISIEUX,14100 LISIEUX,,6 secteurs,
NHP SERVICE,1 RUE DE LA COLOMBELLE 14620 FOURCHES,14620 FOURCHES,,6 secteurs,
GUARDE,4 BOULEVARD MARECHAL MONTGOMERY 14400 BAYEUX,14400 BAYEUX,,6 secteurs,
OLIVIER BOULETOUX,LES RANGS RTE DE TOURVILLE 14130 SAINT-MARTIN-AUX-CHARTRAINS,14130 SAINT-MARTIN-AUX-CHARTRAINS,,6 secteurs,
JULIEN SOYER,31 RUE DU SOUS-LIAU 14570 SAINT-REMY,14570 SAINT-REMY,,6 secteurs,
MATTHIEU DELPIERRE,18 RUE CONSTANT FORGET 14000 CAEN,14000 CAEN,,6 secteurs,
JA2S (JA2S),7 ALLEE GEORGES CUVIER 14740 SAINT-MANVIEU-NORREY,14740 SAINT-MANVIEU-NORREY,,6 secteurs,
YANN DELENTE,ROULLOURS LE HAUT CATEL 14500 VIRE-NORMANDIE,14500 VIRE-NORMANDIE,,6 secteurs,
INFORLAN,48 RUE DE LA RIVIERE 14114 VER-SUR-MER,14114 VER-SUR-MER,,6 secteurs,
