societe,adresse_postale,code_postal,email_destinataire,domaine,url
2 ALY'S,ROULLOURS LE HAUT CATEL 14500 VIRE-NORMANDIE,14500 VIRE-NORMANDIE,,6 secteurs,
FRANCHISE DIP (FRANCHISE DIP),1 RUE VIEILLE 14130 PONT L'EVEQUE,14130 PONT L'EVEQUE,,6 secteurs,
GILBERT ALAIN GASTEBOIS,14 RUE BUCAILLE 14600 HONFLEUR,14600 HONFLEUR,,6 secteurs,
DAMIEN PIQUET (WINGEI SOFTWARE),6 RUE SAINT - MARTIN 14930 VIEUX,14930 VIEUX,,6 secteurs,
PIERRE HEBERT (GB-STOCK),BATIMENT E 1 AVENUE DURAND MORIMBAU 14390 CABOURG,14390 CABOURG,,6 secteurs,
PRO-SKILL INSTITUTE,2 RUE FERMAT 14000 CAEN,14000 CAEN,,6 secteurs,
GLOBAL DIGITAL CORPORATION,4 AVENUE DE CAMBRIDGE 14200 HEROUVILLE-SAINT-CLAIR,14200 HEROUVILLE-SAINT-CLAIR,,6 secteurs,
CHARLES-HENRI TANIC (TANIC) (TANICOPS),3 RUE SAINT-VIGOR 14540 BOURGUEBUS,14540 BOURGUEBUS,,6 secteurs,
EM VITALI'SANTE (EM V'S),1 RUE MARIN LABBE 14530 LUC-SUR-MER,14530 LUC-SUR-MER,,6 secteurs,
MOODERFUL,RDC 16 RUE FRANCHE 14400 BAYEUX,14400 BAYEUX,,6 secteurs,
GAGE INTERACTIVE,8 RUE COMMODORE J H HALLET 14000 CAEN,14000 CAEN,,6 secteurs,
STARCOMMANDE,1 RUE DE SOPHIA-ANTIPOLIS 14200 HEROUVILLE-SAINT-CLAIR,14200 HEROUVILLE-SAINT-CLAIR,,6 secteurs,
OPTIM-FACTORY (OPTIM-FACTORY),41 BOULEVARD MARECHAL LECLERC 14000 CAEN,14000 CAEN,,6 secteurs,
SCANIZER,15 AVENUE DE CAMBRIDGE 14200 HEROUVILLE-SAINT-CLAIR,14200 HEROUVILLE-SAINT-CLAIR,,6 secteurs,
ULTEO,5 RUE CHARLES LEANDRE 14000 CAEN,14000 CAEN,,6 secteurs,
ALOSAR GROUP,8 RUE DES BLEUETS 14400 SAINT-VIGOR-LE-GRAND,14400 SAINT-VIGOR-LE-GRAND,,6 secteurs,
MOBILE FINANCIAL TECHNOLOGIES,3 PLACE JEAN NOUZILLE 14000 CAEN,14000 CAEN,,6 secteurs,
YOUSWITCH,4 RUE DE LA GARE 14000 CAEN,14000 CAEN,,6 secteurs,
ARCAGEST SOLUTIONS (LBSYSTEMS),LA BRUYERE MANNET CHEMIN DE DRAMARD 14510 GONNEVILLE-SUR-MER,14510 GONNEVILLE-SUR-MER,,6 secteurs,
YOP SERVEUR,4 RUE DE LA CASERNE 14190 GRAINVILLE-LANGANNERIE,14190 GRAINVILLE-LANGANNERIE,,6 secteurs,
